TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, MINUTE, HIT_CUT, CENTER, ROI, ROI_THETA, RAW_FILE, MASKED_FILE, MASK_PIXEL_FILE, OUTPUT_DIRECTORY
L20REFX_D45, 20, 11, 20, 0, 10, 160, 501.9 306.8, 150 10, 45, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX
L20REFX_D90, 20, 11, 20, 0, 10, 160, 501.9 306.8, 150 10, 90, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX
L20REFX_D135, 20, 11, 20, 0, 10, 160, 501.9 306.8, 150 10, 135, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX
L20REFX_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX_OLD
L20REFX_D0_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 150 10, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX_OLD
L20REFX_D45_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 150 10, 45, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX_OLD
L20REFX_D90_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 150 10, 90, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX_OLD
L20REFX_D135_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 150 10, 135, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFX_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFX_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFX_OLD
L20REFO_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO_OLD
L20REFO_D0_OLD, 20, 11, 20, 0, 10, 160, 563.5 259.5, 150 10, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20REFO_OLD.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20REFO_OLD.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20REFO_OLD
