TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, MINUTE, CS1, CS2, CS3, CS4, CS5, CS6, CS7, CS8, CS9, CS10, CS11, CS12, CS13, CS14, CS15, CS16, CS17, CS18, CS19, CS20, CS21, CS22, CS23, CS24, CS25, CS26, CS27, CS28, CS29, CS30, CS31, CS32, CS33, CS34, CS35, CS36, CS37, CS38, CS39, CS40, CS41, CS42, CS43, CS44, CS45, CS46, CS47, CS48, CS49, CS50, CS51, CS52, CS53, CS54, CS55, CS56, CS57, CS58, CS59, CS60
L3F7X, 3, 7, 3, 34.9, 8, 27287.5, 16690, 10280, 17326.2, 5986.25, 5925, 7442.5, 9078.75, 13248.8, 9506.25, 5491.25, 6317.5, 7510, 10941.2, 7902.5, 16033.8, 9965, 15623.8, 10182.5, 14212.5, 14628.8, 26267.5, 15380, 20542.5, 21651.2, 32050, 15641.2, 12337.5, 8443.75, 5772.5, 2908.75, 1625, 83.75, 53.75, 45, 52.5, 50, 43.75, 48.75, 40, 50, 56.25, 42.5, 60, 56.25, 46.25, 37.5, 43.75, 37.5, 36.25, 25, 28.75, 26.25, 16.25, 15, 8.75, 3.75, 2.5, 1.25, 5
L3F7O, 3, 7, 3, 34.9, 8, 5452.5, 2483.75, 2143.75, 591.25, 100, 76.25, 13.75, 10, 2.5, 2.5, 1.25, 1.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L3REFX, 3, 11, 3, 0, 10, 52182, 22449, 15078, 25657, 9789, 10257, 12175, 13086, 18072, 13379, 8059, 9670, 11742, 17797, 12438, 25945, 15616, 25942, 15613, 22104, 20991, 38999, 20889, 28922, 28650, 43234, 22874, 19058, 14406, 11695, 7022, 5157, 252, 112, 60, 65, 46, 61, 45, 52, 52, 53, 61, 44, 54, 38, 50, 41, 39, 29, 29, 34, 41, 26, 20, 9, 12, 10, 6, 3
L3REFO, 3, 11, 3, 0, 10, 5156, 2703, 2481, 872, 93, 82, 31, 12, 3, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L7F2X, 7, 2, 7, 0.62, 970, 1069.99, 436.773, 464.237, 84.7835, 22.6701, 17.5052, 7.98969, 8.25773, 5.26804, 2.83505, 2.43299, 2.90722, 3.48454, 2.74227, 5.53608, 4.14433, 4.74227, 3.37113, 4.25773, 4.31959, 7.29897, 5.46392, 6.05155, 7.81443, 15.9278, 9.69072, 8.07216, 6.8866, 5.2268, 3.19588, 1.91753, 0.453608, 0.0412371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0103093, 0, 0, 0, 0, 0, 0, 0, 0
L7F2O, 7, 2, 7, 0.62, 970, 777.897, 325.113, 367.557, 67.0206, 20.6289, 15.2784, 4.84536, 1.53608, 0.536082, 0.350515, 0.309278, 0.195876, 0.0824742, 0.0721649, 0.113402, 0.0309278, 0.0103093, 0.0515464, 0.0206186, 0.0206186, 0.0309278, 0, 0.0103093, 0.0206186, 0.0206186, 0.0103093, 0, 0, 0, 0, 0, 0, 0, 0, 0.0206186, 0, 0.0103093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L7F3X, 7, 3, 7, 6.1, 61, 3130.16, 1594.1, 1629.18, 677.049, 171.967, 151.311, 162.951, 334.754, 314.59, 167.705, 134.426, 158.852, 197.049, 167.705, 252.623, 251.967, 237.541, 207.869, 205.574, 230, 348.361, 295.246, 310.984, 382.459, 743.443, 614.918, 449.016, 420.656, 383.279, 262.131, 191.148, 65.082, 3.77049, 1.31148, 1.14754, 0.491803, 0, 0.163934, 0.163934, 0.163934, 0.163934, 0, 0.327869, 0.327869, 0, 0, 0, 0.163934, 0.163934, 0, 0.163934, 0, 0.163934, 0.327869, 0, 0, 0, 0.163934, 0, 0
L7F3O, 7, 3, 7, 6.1, 61, 2130.16, 882.951, 1050.82, 178.361, 50, 47.377, 16.8852, 4.91803, 1.96721, 1.31148, 0.327869, 0, 0.163934, 0.327869, 0, 0, 0, 0.327869, 0, 0.163934, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L7F4X, 7, 4, 7, 10.3, 20, 3826.5, 2250, 2113, 1276.5, 319.5, 339, 385, 860, 949, 519.5, 356, 417.5, 545, 485.5, 668.5, 697.5, 653.5, 582.5, 521.5, 652, 969, 961.5, 892.5, 1124, 1896.5, 1882, 1279.5, 1137, 978.5, 714, 483.5, 194, 14.5, 3, 0.5, 1, 0.5, 0, 1.5, 1.5, 0.5, 2, 1, 0.5, 0, 0, 0.5, 0.5, 0, 1, 0.5, 2, 0.5, 1, 0.5, 0, 0.5, 0, 0, 1
L7F4O, 7, 4, 7, 10.3, 20, 2399, 948.5, 1071.5, 204, 64, 41, 17.5, 2, 1.5, 0, 0, 1, 0, 0.5, 0.5, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L7F7X, 7, 7, 7, 34.6, 19, 10433.2, 6745.79, 4560, 6358.42, 1600, 1806.32, 1712.63, 3198.95, 6100, 3630, 2091.05, 2314.74, 2684.74, 3380.53, 2810, 4946.84, 3628.95, 4285.79, 3054.74, 4095.26, 4784.21, 7318.42, 5212.63, 6528.42, 8473.68, 13126.3, 7169.47, 6415.26, 5004.74, 3937.89, 2206.32, 1282.11, 40.5263, 17.3684, 8.94737, 8.94737, 10, 16.8421, 9.47368, 11.5789, 10.5263, 9.47368, 6.84211, 11.5789, 8.94737, 7.89474, 10, 12.1053, 8.42105, 11.5789, 4.73684, 5.78947, 7.36842, 7.89474, 4.73684, 2.10526, 3.15789, 1.57895, 0, 0
L7F7O, 7, 7, 7, 34.6, 19, 3095.26, 1255.79, 1280, 245.263, 57.3684, 37.3684, 13.6842, 4.21053, 1.05263, 0, 1.05263, 0.526316, 0, 0, 0, 0.526316, 0, 0, 0.526316, 0, 0, 0.526316, 0, 0, 0, 0.526316, 0, 0, 0, 0.526316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L7REFX, 7, 11, 7, 0, 10, 55362, 14790, 9328, 15850, 6049, 6082, 6224, 8006, 14164, 9447, 5191, 5804, 6942, 9864, 7514, 14956, 9732, 13257, 8863, 12460, 12841, 22055, 13662, 17231, 20301, 32055, 17992, 16085, 13265, 11607, 7397, 5825, 273, 90, 25, 21, 31, 16, 8, 16, 23, 18, 30, 14, 24, 31, 17, 8, 21, 17, 9, 11, 13, 11, 8, 4, 4, 2, 6, 2
L7REFO, 7, 11, 7, 0, 10, 3579, 1557, 1495, 417, 53, 60, 27, 10, 2, 1, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
L20F2X, 20, 2, 20, 1.17, 1510, 597.834, 203.285, 262.821, 32.1921, 19.2781, 14.3642, 5.88742, 4.59603, 2.63576, 1.3245, 1.05298, 1.1457, 1.42384, 0.927152, 1.57616, 1.2649, 1.57616, 0.960265, 1.19868, 1.2053, 1.9404, 1.49007, 1.64238, 2.19205, 4.70199, 2.88742, 2.36424, 2.05298, 1.83444, 1.01987, 0.695364, 0.0927152, 0.00662252, 0, 0, 0.00662252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
